new_scenario,new_mode,new_solve_time_s,new_mipgap_filled,new_feasible,new_objective,new_Tmax,new_client_delay_sum,new_viol_C_sum,new_client_switches,new_n_planes,new_n_jobs,new_n_positions,new_H,new_scenario_type,new_window_tightness,new_n_bin,new_n_vars,new_n_cons,scenario,mode,old_scenario,old_mode,old_solve_time_s,old_mipgap_filled,old_feasible,old_objective,old_Tmax,old_client_delay_sum,old_viol_C_sum,old_client_switches,old_n_planes,old_n_jobs,old_n_positions,old_H,old_scenario_type,old_window_tightness,old_n_bin,old_n_vars,old_n_cons,both_feasible,time_ratio_old_over_new,log_time_ratio,gap_diff_old_minus_new,Tmax_diff_old_minus_new,delay_diff_old_minus_new,violC_diff_old_minus_new,switch_diff_old_minus_new,win_time_new,win_gap_new,win_Tmax_new,win_delay_new,win_violC_new,win_switch_new
scn_custom_many_tight_pl14.xlsx,hard,2858.0,,False,0.0,0.0,0.0,0.0,0.0,14.0,25.0,5.0,73891.0,many,tight,,,,scn_custom_many_tight_pl14.xlsx,hard,scn_custom_many_tight_pl14.xlsx,hard,39885.0,,True,,9637100000000000.0,0.0,0.0,3.0,14.0,25.0,5.0,9637100000000000.0,many,tight,38423.0,38756.0,56935.0,False,13.9555633310007,2.635878233855417,,9637100000000000.0,0.0,0.0,3.0,False,False,False,False,False,False
scn_custom_many_tight_pl16.xlsx,soft12,3547.0,,True,1840.16,96.16,0.0,0.0,,16.0,33.0,5.0,98223.0,many,tight,,,,scn_custom_many_tight_pl16.xlsx,soft12,scn_custom_many_tight_pl16.xlsx,soft12,12.86,,True,,118863.0,0.0,0.0,,16.0,33.0,5.0,118863.0,many,tight,56445.0,56864.0,79176.0,True,0.003625599097829151,-5.619735735964149,,118766.84,0.0,0.0,,False,False,True,False,False,False
scn_custom_many_tight_pl16.xlsx,soft,3137.0,,True,1840.16,96.16,0.0,0.0,,16.0,33.0,5.0,98223.0,many,tight,,,,scn_custom_many_tight_pl16.xlsx,soft,scn_custom_many_tight_pl16.xlsx,soft,14048.0,,True,,118863.0,0.0,0.0,,16.0,33.0,5.0,118863.0,many,tight,56445.0,56876.0,79182.0,True,4.478163850812878,1.4992131076842197,,118766.84,0.0,0.0,,True,False,True,False,False,False
scn_custom_many_tight_pl16.xlsx,medium,14135.0,,True,21001840.16,96.16,0.0,0.0,21.0,16.0,33.0,5.0,98223.0,many,tight,,,,scn_custom_many_tight_pl16.xlsx,medium,scn_custom_many_tight_pl16.xlsx,medium,307209.0,,False,,118863.0,0.0,0.0,5.0,16.0,33.0,5.0,118863.0,many,tight,58705.0,59136.0,88222.0,False,21.73392288645207,3.078874306573818,,118766.84,0.0,0.0,-16.0,False,False,False,False,False,False
scn_custom_many_tight_pl16.xlsx,hard,4609.0,,False,0.0,0.0,0.0,0.0,0.0,16.0,33.0,5.0,98223.0,many,tight,,,,scn_custom_many_tight_pl16.xlsx,hard,scn_custom_many_tight_pl16.xlsx,hard,309689.0,,False,,118863.0,0.0,0.0,8.0,16.0,33.0,5.0,118863.0,many,tight,58710.0,59141.0,88227.0,False,67.19223258841397,4.2075576543665365,,118863.0,0.0,0.0,8.0,False,False,False,False,False,False
scn_custom_many_tight_pl18.xlsx,soft12,4714.0,,True,2513209.0,119209.0,0.0,0.0,,18.0,41.0,5.0,122524.0,many,tight,,,,scn_custom_many_tight_pl18.xlsx,soft12,scn_custom_many_tight_pl18.xlsx,soft12,22881.0,,True,,145194.0,0.0,0.0,,18.0,41.0,5.0,145194.0,many,tight,81923.0,82440.0,115002.0,True,4.853839626644039,1.5797700673362718,,25985.0,0.0,0.0,,True,False,True,False,False,False
scn_custom_many_tight_pl18.xlsx,soft,4609.0,,True,2513209.0,119209.0,0.0,0.0,,18.0,41.0,5.0,122524.0,many,tight,,,,scn_custom_many_tight_pl18.xlsx,soft,scn_custom_many_tight_pl18.xlsx,soft,24136.0,,True,,145194.0,0.0,0.0,,18.0,41.0,5.0,145194.0,many,tight,81923.0,82452.0,115008.0,True,5.236710783250163,1.6556935881183887,,25985.0,0.0,0.0,,True,False,True,False,False,False
scn_custom_many_tight_pl18.xlsx,medium,24756.0,,True,36002513352.0,119352.0,0.0,0.0,36.0,18.0,41.0,5.0,122524.0,many,tight,,,,scn_custom_many_tight_pl18.xlsx,medium,scn_custom_many_tight_pl18.xlsx,medium,176387.0,,True,,145194.0,0.0,0.0,0.0,18.0,41.0,5.0,145194.0,many,tight,85413.0,85942.0,128968.0,True,7.12502019712393,1.9636125608347568,,25842.0,0.0,0.0,-36.0,True,False,True,False,False,False
scn_custom_many_tight_pl18.xlsx,hard,6863.0,,False,0.0,0.0,0.0,0.0,0.0,18.0,41.0,5.0,122524.0,many,tight,,,,scn_custom_many_tight_pl18.xlsx,hard,scn_custom_many_tight_pl18.xlsx,hard,311672.0,,False,,145194.0,0.0,0.0,3.0,18.0,41.0,5.0,145194.0,many,tight,85418.0,85947.0,128973.0,False,45.413376074602944,3.815806688847131,,145194.0,0.0,0.0,3.0,False,False,False,False,False,False
scn_custom_many_tight_pl20.xlsx,soft12,3527.0,,True,2.128644e+16,88644.0,0.0,0.0,,20.0,35.0,5.0,91298.0,many,tight,,,,scn_custom_many_tight_pl20.xlsx,soft12,scn_custom_many_tight_pl20.xlsx,soft12,16624.0,,True,,112568.0,0.0,0.0,,20.0,35.0,5.0,112568.0,many,tight,62495.0,62942.0,88696.0,True,4.713354125318968,1.5503997831029568,,23924.0,0.0,0.0,,True,False,True,False,False,False
