scenario;mode;preset;status;termination;solve_time_s;mipgap;best_bound;objective;Tmax;client_delay_sum;viol_C_sum;client_switches;positions_slack_used;switches_slot_sum;presence_sum;idle_sum;n_jobs;n_planes;n_clients;n_positions;H
scn_custom_many_tight_pl14.xlsx;hard;base;warning;infeasible;3.564;;inf;inf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25;14;6;5;73.891
scn_custom_many_tight_pl14.xlsx;hard;fast;warning;infeasible;3.881;;inf;inf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25;14;6;5;73.891
scn_custom_many_tight_pl14.xlsx;hard;feasible;warning;infeasible;3.665;;inf;inf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25;14;6;5;73.891
scn_custom_many_tight_pl16.xlsx;soft12;base;ok;optimal;4.61;;18.401.599.999.999.900;18.401.599.999.999.900;96.16;0.0;0.0;;;0.0;0.0;1744.0;33;16;6;5;98.223
scn_custom_many_tight_pl16.xlsx;soft12;fast;ok;optimal;3.855;;18.401.599.999.999.900;18.401.599.999.999.900;96.16;0.0;0.0;;;0.0;0.0;1744.0;33;16;6;5;98.223
scn_custom_many_tight_pl16.xlsx;soft12;feasible;ok;optimal;4.9;;18.401.599.999.999.900;18.401.599.999.999.900;96.16;0.0;0.0;;;0.0;0.0;1744.0;33;16;6;5;98.223
scn_custom_many_tight_pl16.xlsx;soft;base;ok;optimal;3.807;;18.401.599.999.999.900;18.401.599.999.999.900;96.16;0.0;0.0;;;0.0;0.0;1744.0;33;16;6;5;98.223
scn_custom_many_tight_pl16.xlsx;soft;fast;ok;optimal;3.649;;18.401.599.999.999.900;18.401.599.999.999.900;96.16;0.0;0.0;;;0.0;0.0;1744.0;33;16;6;5;98.223
scn_custom_many_tight_pl16.xlsx;soft;feasible;ok;optimal;3.633;;18.401.599.999.999.900;18.401.599.999.999.900;96.16;0.0;0.0;;;0.0;0.0;1744.0;33;16;6;5;98.223
scn_custom_many_tight_pl16.xlsx;medium;base;ok;optimal;18.361;;21001840.16;21001840.16;96.16;0.0;0.0;21.0;;0.0;0.0;1744.0;33;16;6;5;98.223
scn_custom_many_tight_pl16.xlsx;medium;fast;ok;optimal;14.338;;21001840.16;21001840.16;96.16;0.0;0.0;21.0;;0.0;0.0;1744.0;33;16;6;5;98.223
scn_custom_many_tight_pl16.xlsx;medium;feasible;ok;optimal;21.835;;21001840.16;21001840.16;96.16;0.0;0.0;21.0;;0.0;0.0;1744.0;33;16;6;5;98.223
scn_custom_many_tight_pl16.xlsx;hard;base;warning;infeasible;4.71;;inf;inf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33;16;6;5;98.223
scn_custom_many_tight_pl16.xlsx;hard;fast;warning;infeasible;5.25;;inf;inf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33;16;6;5;98.223
scn_custom_many_tight_pl16.xlsx;hard;feasible;warning;infeasible;4.873;;inf;inf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33;16;6;5;98.223
scn_custom_many_tight_pl18.xlsx;soft12;base;ok;optimal;4.644;;2.513.209;2.513.209;119.209;0.0;0.0;;;0.0;0.0;2394.0;41;18;6;5;122.524
scn_custom_many_tight_pl18.xlsx;soft12;fast;ok;optimal;4.97;;2.513.209;2.513.209;119.209;0.0;0.0;;;0.0;0.0;2394.0;41;18;6;5;122.524
scn_custom_many_tight_pl18.xlsx;soft12;feasible;ok;optimal;5.204;;2.513.209;2.513.209;119.209;0.0;0.0;;;0.0;0.0;2394.0;41;18;6;5;122.524
scn_custom_many_tight_pl18.xlsx;soft;base;ok;optimal;5.562;;2.513.209;2.513.209;119.209;0.0;0.0;;;0.0;0.0;2394.0;41;18;6;5;122.524
scn_custom_many_tight_pl18.xlsx;soft;fast;ok;optimal;6.22;;2.513.209;2.513.209;119.209;0.0;0.0;;;0.0;0.0;2394.0;41;18;6;5;122.524
scn_custom_many_tight_pl18.xlsx;soft;feasible;ok;optimal;5.209;;2.513.209;2.513.209;119.209;0.0;0.0;;;0.0;0.0;2394.0;41;18;6;5;122.524
scn_custom_many_tight_pl18.xlsx;medium;base;ok;optimal;22.739;;36.002.513.352;36.002.513.352;11.935.199.999.999.900;0.0;0.0;36.0;;0.0;0.0;2394.0;41;18;6;5;122.524
scn_custom_many_tight_pl18.xlsx;medium;fast;ok;optimal;29.8;;36.002.513.352;36.002.513.352;119.352;0.0;0.0;36.0;;0.0;0.0;2394.0;41;18;6;5;122.524
scn_custom_many_tight_pl18.xlsx;medium;feasible;ok;optimal;53.543;;36.002.513.352;36.002.513.352;119.352;0.0;0.0;36.0;;0.0;0.0;2394.0;41;18;6;5;122.524
scn_custom_many_tight_pl18.xlsx;hard;base;warning;infeasible;5.833;;inf;inf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41;18;6;5;122.524
scn_custom_many_tight_pl18.xlsx;hard;fast;warning;infeasible;7.572;;inf;inf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41;18;6;5;122.524
scn_custom_many_tight_pl18.xlsx;hard;feasible;warning;infeasible;7.892;;inf;inf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41;18;6;5;122.524
scn_custom_many_tight_pl20.xlsx;soft12;base;ok;optimal;4.217;;21.286.440.000.000.000;21.286.440.000.000.000;88.644;0.0;0.0;;;0.0;0.0;2040.0;35;20;6;5;91.298
scn_custom_many_tight_pl20.xlsx;soft12;fast;ok;optimal;4.679;;21.286.440.000.000.000;21.286.440.000.000.000;88.644;0.0;0.0;;;0.0;0.0;2040.0;35;20;6;5;91.298
scn_custom_many_tight_pl20.xlsx;soft12;feasible;ok;optimal;6.265;;21.286.440.000.000.000;21.286.440.000.000.000;88.644;0.0;0.0;;;0.0;0.0;2040.0;35;20;6;5;91.298
scn_custom_many_tight_pl20.xlsx;soft;base;ok;optimal;3.835;;21.286.440.000.000.000;21.286.440.000.000.000;88.644;0.0;0.0;;;0.0;0.0;2040.0;35;20;6;5;91.298
scn_custom_many_tight_pl20.xlsx;soft;fast;ok;optimal;4.607;;21.286.440.000.000.000;21.286.440.000.000.000;88.644;0.0;0.0;;;0.0;0.0;2040.0;35;20;6;5;91.298
scn_custom_many_tight_pl20.xlsx;soft;feasible;ok;optimal;4.66;;21.286.440.000.000.000;21.286.440.000.000.000;88.644;0.0;0.0;;;0.0;0.0;2040.0;35;20;6;5;91.298
scn_custom_many_tight_pl20.xlsx;medium;base;ok;optimal;16.507;;23.002.128.644;23.002.128.644;88.644;0.0;0.0;23.0;;0.0;0.0;2040.0;35;20;6;5;91.298
scn_custom_many_tight_pl20.xlsx;medium;fast;ok;optimal;21.552;;23.002.128.644;23.002.128.644;88.644;0.0;0.0;23.0;;0.0;0.0;2040.0;35;20;6;5;91.298
scn_custom_many_tight_pl20.xlsx;medium;feasible;ok;optimal;40.377;;23.002.128.644;23.002.128.644;88.644;0.0;0.0;23.0;;0.0;0.0;2040.0;35;20;6;5;91.298
scn_custom_many_tight_pl20.xlsx;hard;base;ok;optimal;5.869;;112.002.129.301;112.002.129.301;89.301;0.0;0.0;32.0;4.0;0.0;0.0;2040.0;35;20;6;5;91.298
scn_custom_many_tight_pl20.xlsx;hard;fast;ok;optimal;8.232;;112.002.129.301;112.002.129.301;8.930.099.999.999.990;0.0;0.0;32.0;4.0;0.0;0.0;2040.0;35;20;6;5;91.298
