position,jobs,start_min,finish_max
position1,6,0.0,48.00999999999178
position2,13,0.0,103.70999999999516
position3,5,96.65999999985513,140.57999999985526
position4,4,65.88999999985512,96.57999999985509
position5,10,0.0,69.0399999998551
