scenario;mode;preset;status;termination;solve_time_s;mipgap;best_bound;objective;Tmax;client_delay_sum;viol_C_sum;client_switches;positions_slack_used;switches_slot_sum;presence_sum;idle_sum;n_jobs;n_planes;n_clients;n_positions;H;n_vars;n_cons;n_bin
scn_few-loose_seed12_P3_pl5.xlsx;soft12;base;ok;optimal;2.256;;;;65.818;0.0;0.0;;;0.0;0.0;380.0;8;5;3;5;65.818;8376;10974;8271
scn_few-loose_seed12_P3_pl5.xlsx;soft;base;ok;optimal;1.862;;;;65.818;0.0;0.0;;;0.0;0.0;380.0;8;5;3;5;65.818;8382;10977;8271
scn_few-loose_seed12_P3_pl5.xlsx;medium;base;ok;optimal;2.371;;;;65.818;0.0;0.0;0.0;;0.0;0.0;380.0;8;5;3;5;65.818;8482;11377;8371
scn_few-loose_seed12_P3_pl5.xlsx;hard;base;ok;optimal;2.723;;;;65.818;0.0;0.0;0.0;0.0;0.0;0.0;380.0;8;5;3;5;65.818;8487;11382;8376
scn_few-loose_seed1_P3_pl5.xlsx;soft12;base;ok;optimal;3.251;;;;82.785;0.0;0.0;;;0.0;0.0;465.0;12;5;3;5;82.785;12840;16763;12687
scn_few-loose_seed1_P3_pl5.xlsx;soft;base;ok;optimal;2.547;;;;82.785;0.0;0.0;;;0.0;0.0;465.0;12;5;3;5;82.785;12846;16766;12687
scn_few-loose_seed1_P3_pl5.xlsx;medium;base;ok;optimal;2.639;;;;82.785;0.0;0.0;0.0;;0.0;0.0;465.0;12;5;3;5;82.785;13081;17706;12922
scn_few-loose_seed1_P3_pl5.xlsx;hard;base;ok;optimal;2.425;;;;82.785;0.0;0.0;0.0;0.0;0.0;0.0;465.0;12;5;3;5;82.785;13086;17711;12927
scn_few-loose_seed2_P3_pl5.xlsx;soft12;base;ok;optimal;2.853;;;;8.782.300.000.000.000;0.0;0.0;;;0.0;0.0;490.0;13;5;3;5;8.782.300.000.000.000;14211;18539;14046
scn_few-loose_seed2_P3_pl5.xlsx;soft;base;ok;optimal;3.21;;;;8.782.300.000.000.000;0.0;0.0;;;0.0;0.0;490.0;13;5;3;5;8.782.300.000.000.000;14217;18542;14046
scn_few-loose_seed2_P3_pl5.xlsx;medium;base;ok;optimal;3.29;;;;8.782.300.000.000.000;0.0;0.0;0.0;;0.0;0.0;490.0;13;5;3;5;8.782.300.000.000.000;14487;19622;14316
scn_few-loose_seed2_P3_pl5.xlsx;hard;base;ok;optimal;2.297;;;;8.782.300.000.000.000;0.0;0.0;0.0;0.0;0.0;0.0;490.0;13;5;3;5;8.782.300.000.000.000;14492;19627;14321
scn_few-loose_seed3_P3_pl5.xlsx;soft12;base;ok;optimal;1.153;;;;57.091;0.0;0.0;;;0.0;0.0;340.0;8;5;3;5;57.091;7576;9974;7471
scn_few-loose_seed3_P3_pl5.xlsx;soft;base;ok;optimal;1.051;;;;57.091;0.0;0.0;;;0.0;0.0;340.0;8;5;3;5;57.091;7582;9977;7471
scn_few-loose_seed3_P3_pl5.xlsx;medium;base;ok;optimal;1.194;;;;57.091;0.0;0.0;0.0;;0.0;0.0;340.0;8;5;3;5;57.091;7667;10317;7556
scn_few-loose_seed3_P3_pl5.xlsx;hard;base;ok;optimal;1.33;;;;57.091;0.0;0.0;0.0;0.0;0.0;0.0;340.0;8;5;3;5;57.091;7672;10322;7561
scn_few-loose_seed4_P3_pl5.xlsx;soft12;base;ok;optimal;1.522;;;;78.738;0.0;0.0;;;0.0;0.0;445.0;10;5;3;5;78.738;10974;14303;10845
scn_few-loose_seed4_P3_pl5.xlsx;soft;base;ok;optimal;1.379;;;;78.738;0.0;0.0;;;0.0;0.0;445.0;10;5;3;5;78.738;10980;14306;10845
scn_few-loose_seed4_P3_pl5.xlsx;medium;base;ok;optimal;1.414;;;;78.738;0.0;0.0;0.0;;0.0;0.0;445.0;10;5;3;5;78.738;11140;14946;11005
scn_few-loose_seed4_P3_pl5.xlsx;hard;base;ok;optimal;1.491;;;;78.738;0.0;0.0;0.0;0.0;0.0;0.0;445.0;10;5;3;5;78.738;11145;14951;11010
scn_few-loose_seed5_P3_pl5.xlsx;soft12;base;ok;optimal;1.431;;;;75.523;0.0;0.0;;;0.0;0.0;430.0;9;5;3;5;75.523;9999;13039;9882
scn_few-loose_seed5_P3_pl5.xlsx;soft;base;ok;optimal;1.276;;;;75.523;0.0;0.0;;;0.0;0.0;430.0;9;5;3;5;75.523;10005;13042;9882
scn_few-loose_seed5_P3_pl5.xlsx;medium;base;ok;optimal;1.321;;;;75.523;0.0;0.0;0.0;;0.0;0.0;430.0;9;5;3;5;75.523;10125;13522;10002
scn_few-loose_seed5_P3_pl5.xlsx;hard;base;ok;optimal;1.365;;;;75.523;0.0;0.0;0.0;0.0;0.0;0.0;430.0;9;5;3;5;75.523;10130;13527;10007
scn_few-loose_seed6_P3_pl5.xlsx;soft12;base;ok;optimal;1.701;;;;84.271;0.0;0.0;;;0.0;0.0;475.0;11;5;3;5;84.271;12346;16061;12205
scn_few-loose_seed6_P3_pl5.xlsx;soft;base;ok;optimal;2.357;;;;84.271;0.0;0.0;;;0.0;0.0;475.0;11;5;3;5;84.271;12352;16064;12205
scn_few-loose_seed6_P3_pl5.xlsx;medium;base;ok;optimal;1.735;;;;84.271;0.0;0.0;0.0;;0.0;0.0;475.0;11;5;3;5;84.271;12547;16844;12400
scn_few-loose_seed6_P3_pl5.xlsx;hard;base;ok;optimal;2.747;;;;84.271;0.0;0.0;0.0;0.0;0.0;0.0;475.0;11;5;3;5;84.271;12552;16849;12405
scn_few-loose_seed7_P3_pl5.xlsx;soft12;base;ok;optimal;2.591;;;;74.691;0.0;0.0;;;0.0;0.0;425.0;11;5;3;5;74.691;11196;14661;11055
scn_few-loose_seed7_P3_pl5.xlsx;soft;base;ok;optimal;2.735;;;;74.691;0.0;0.0;;;0.0;0.0;425.0;11;5;3;5;74.691;11202;14664;11055
scn_few-loose_seed7_P3_pl5.xlsx;medium;base;ok;optimal;2.659;;;;74.691;0.0;0.0;0.0;;0.0;0.0;425.0;11;5;3;5;74.691;11402;15464;11255
scn_few-loose_seed7_P3_pl5.xlsx;hard;base;ok;optimal;2.514;;;;74.691;0.0;0.0;0.0;0.0;0.0;0.0;425.0;11;5;3;5;74.691;11407;15469;11260
