file,mode,solve_time_s,status,termination,gap,best_bound,objective,Tmax,client_delay_sum,viol_C_sum,client_switches,positions_slack_used,switches_slot_sum,presence_sum,idle_sum,n_positions,n_jobs,n_planes,n_clients,H
scn_heavy-mix_seed107.xlsx,hard,21.417,warning,infeasible,,,,,,,,,,,,5.0,96.0,14.0,6.0,44.706
scn_heavy-mix_seed108.xlsx,soft12,14.766,warning,infeasible,,,,,,,,,,,,5.0,94.0,14.0,6.0,50.932
scn_heavy-mix_seed108.xlsx,soft,14.144,warning,infeasible,,,,,,,,,,,,5.0,94.0,14.0,6.0,50.932
scn_heavy-mix_seed108.xlsx,medium,20.904,warning,infeasible,,,,,,,,,,,,5.0,94.0,14.0,6.0,50.932
scn_heavy-mix_seed108.xlsx,hard,18.879,warning,infeasible,,,,,,,,,,,,5.0,94.0,14.0,6.0,50.932
scn_heavy-mix_seed109.xlsx,soft12,17.661,warning,infeasible,,,,,,,,,,,,5.0,105.0,14.0,6.0,48.421
scn_heavy-mix_seed109.xlsx,soft,16.713,warning,infeasible,,,,,,,,,,,,5.0,105.0,14.0,6.0,48.421
scn_heavy-mix_seed109.xlsx,medium,22.39,warning,infeasible,,,,,,,,,,,,5.0,105.0,14.0,6.0,48.421
scn_heavy-mix_seed109.xlsx,hard,22.623,warning,infeasible,,,,,,,,,,,,5.0,105.0,14.0,6.0,48.421
scn_heavy-mix_seed110.xlsx,soft12,15.683,warning,infeasible,,,,,,,,,,,,5.0,97.0,14.0,6.0,57.077
scn_heavy-mix_seed110.xlsx,soft,16.924,warning,infeasible,,,,,,,,,,,,5.0,97.0,14.0,6.0,57.077
scn_heavy-mix_seed110.xlsx,medium,22.136,warning,infeasible,,,,,,,,,,,,5.0,97.0,14.0,6.0,57.077
scn_heavy-mix_seed110.xlsx,hard,23.323,warning,infeasible,,,,,,,,,,,,5.0,97.0,14.0,6.0,57.077
scn_many-medium_seed101.xlsx,soft12,264.332,ok,optimal,,,444.6860000000001,36.6860000000001,0.0,0.0,0.0,0.0,0.0,0.0,408.0,5.0,38.0,8.0,4.0,40.49
scn_many-medium_seed101.xlsx,soft,273.515,ok,optimal,,,444.6860000000001,36.6860000000001,0.0,13.0,0.0,0.0,0.0,0.0,408.0,5.0,38.0,8.0,4.0,40.49
scn_many-medium_seed101.xlsx,medium,,ERROR,Cannot load a SolverResults object with bad status: aborted,,,,,,,,,,,,,,,,
scn_many-medium_seed101.xlsx,hard,,ERROR,Cannot load a SolverResults object with bad status: aborted,,,,,,,,,,,,,,,,
scn_many-medium_seed102.xlsx,soft12,54.49,ok,optimal,,,471.222,39.222,0.0,0.0,0.0,0.0,0.0,0.0,432.0,5.0,39.0,8.0,4.0,43.631
scn_many-medium_seed102.xlsx,soft,56.518,ok,optimal,,,471.222,39.222,0.0,13.0,0.0,0.0,0.0,0.0,432.0,5.0,39.0,8.0,4.0,43.631
scn_many-medium_seed102.xlsx,medium,,ERROR,Cannot load a SolverResults object with bad status: aborted,,,,,,,,,,,,,,,,
scn_many-medium_seed102.xlsx,hard,,ERROR,Cannot load a SolverResults object with bad status: aborted,,,,,,,,,,,,,,,,
scn_many-medium_seed103.xlsx,soft12,14.841,ok,optimal,,,417.938,33.937999999999974,0.0,0.0,0.0,0.0,0.0,0.0,384.0,5.0,40.0,8.0,4.0,37.145
scn_many-medium_seed103.xlsx,soft,15.79,ok,optimal,,,417.938,33.937999999999974,0.0,15.0,0.0,0.0,0.0,0.0,384.0,5.0,40.0,8.0,4.0,37.145
scn_many-medium_seed103.xlsx,medium,303.109,aborted,maxTimeLimit,,,,,,,,,,,,5.0,40.0,8.0,4.0,37.145
scn_many-medium_seed103.xlsx,hard,,ERROR,Cannot load a SolverResults object with bad status: aborted,,,,,,,,,,,,,,,,
scn_many-medium_seed104.xlsx,soft12,9.874,ok,optimal,,,436.895,36.89500000000001,0.0,0.0,0.0,0.0,0.0,0.0,400.0,5.0,38.0,8.0,4.0,39.692
scn_many-medium_seed104.xlsx,soft,10.299,ok,optimal,,,436.895,36.89500000000001,0.0,11.0,0.0,0.0,0.0,0.0,400.0,5.0,38.0,8.0,4.0,39.692
scn_many-medium_seed104.xlsx,medium,302.777,aborted,maxTimeLimit,,,,,,,,,,,,5.0,38.0,8.0,4.0,39.692
scn_many-medium_seed104.xlsx,hard,303.036,aborted,maxTimeLimit,,,,,,,,,,,,5.0,38.0,8.0,4.0,39.692
scn_many-medium_seed105.xlsx,soft12,29.16,ok,optimal,,,461.76900000000006,37.769000000000084,0.0,0.0,0.0,0.0,0.0,0.0,424.0,5.0,44.0,8.0,4.0,42.347
scn_many-medium_seed105.xlsx,soft,36.155,ok,optimal,,,461.76900000000006,37.769000000000084,0.0,12.0,0.0,0.0,0.0,0.0,424.0,5.0,44.0,8.0,4.0,42.347
scn_many-medium_seed105.xlsx,medium,,ERROR,Cannot load a SolverResults object with bad status: aborted,,,,,,,,,,,,,,,,
scn_many-medium_seed105.xlsx,hard,,ERROR,Cannot load a SolverResults object with bad status: aborted,,,,,,,,,,,,,,,,
scn_many-medium_seed106.xlsx,soft12,19.381,ok,optimal,,,463.369,39.369,0.0,0.0,0.0,0.0,0.0,0.0,424.0,5.0,40.0,8.0,4.0,42.793
scn_many-medium_seed106.xlsx,soft,18.192,ok,optimal,,,463.369,39.369,0.0,15.0,0.0,0.0,0.0,0.0,424.0,5.0,40.0,8.0,4.0,42.793
scn_many-medium_seed106.xlsx,medium,303.609,aborted,maxTimeLimit,,,,,,,,,,,,5.0,40.0,8.0,4.0,42.793
scn_many-medium_seed106.xlsx,hard,306.244,aborted,maxTimeLimit,,,,,,,,,,,,5.0,40.0,8.0,4.0,42.793
scn_many-medium_seed107.xlsx,soft12,10.829,ok,optimal,,,390.873,30.873,0.0,0.0,0.0,0.0,0.0,0.0,360.0,5.0,36.0,8.0,4.0,34.121
scn_many-medium_seed107.xlsx,soft,11.752,ok,optimal,,,390.873,30.873,0.0,12.0,0.0,0.0,0.0,0.0,360.0,5.0,36.0,8.0,4.0,34.121
scn_many-medium_seed107.xlsx,medium,303.456,aborted,maxTimeLimit,,,,,,,,,,,,5.0,36.0,8.0,4.0,34.121
scn_many-medium_seed107.xlsx,hard,302.241,aborted,maxTimeLimit,,,,,,,,,,,,5.0,36.0,8.0,4.0,34.121
scn_many-medium_seed108.xlsx,soft12,20.058,ok,optimal,,,452.221,36.221,0.0,0.0,0.0,0.0,0.0,0.0,416.0,5.0,35.0,8.0,4.0,41.311
scn_many-medium_seed108.xlsx,soft,20.167,ok,optimal,,,452.221,36.221,0.0,12.0,0.0,0.0,0.0,0.0,416.0,5.0,35.0,8.0,4.0,41.311
scn_many-medium_seed108.xlsx,medium,302.294,aborted,maxTimeLimit,,,,,,,,,,,,5.0,35.0,8.0,4.0,41.311
scn_many-medium_seed108.xlsx,hard,,ERROR,Cannot load a SolverResults object with bad status: aborted,,,,,,,,,,,,,,,,
scn_many-medium_seed109.xlsx,soft12,18.44,ok,optimal,,,400.41599999999994,32.41599999999991,0.0,0.0,0.0,0.0,0.0,0.0,368.0,5.0,37.0,8.0,4.0,35.286
scn_many-medium_seed109.xlsx,soft,18.989,ok,optimal,,,400.41599999999994,32.41599999999991,0.0,14.0,0.0,0.0,0.0,0.0,368.0,5.0,37.0,8.0,4.0,35.286
scn_many-medium_seed109.xlsx,medium,302.333,aborted,maxTimeLimit,,,,,,,,,,,,5.0,37.0,8.0,4.0,35.286
scn_many-medium_seed109.xlsx,hard,,ERROR,Cannot load a SolverResults object with bad status: aborted,,,,,,,,,,,,,,,,
scn_many-medium_seed110.xlsx,soft12,6.759,ok,optimal,,,463.01099999999997,39.010999999999996,0.0,0.0,0.0,0.0,0.0,0.0,424.0,5.0,40.0,8.0,4.0,42.866
scn_many-medium_seed110.xlsx,soft,6.649,ok,optimal,,,463.01099999999997,39.010999999999996,0.0,13.0,0.0,0.0,0.0,0.0,424.0,5.0,40.0,8.0,4.0,42.866
scn_many-medium_seed110.xlsx,medium,302.2,aborted,maxTimeLimit,,,,,,,,,,,,5.0,40.0,8.0,4.0,42.866
scn_many-medium_seed110.xlsx,hard,302.169,aborted,maxTimeLimit,,,,,,,,,,,,5.0,40.0,8.0,4.0,42.866
scn_many-tight_seed101.xlsx,soft12,5.954,warning,infeasible,,,,,,,,,,,,5.0,69.0,12.0,6.0,38.14
scn_many-tight_seed101.xlsx,soft,5.755,warning,infeasible,,,,,,,,,,,,5.0,69.0,12.0,6.0,38.14
scn_many-tight_seed101.xlsx,medium,7.378,warning,infeasible,,,,,,,,,,,,5.0,69.0,12.0,6.0,38.14
scn_many-tight_seed101.xlsx,hard,7.145,warning,infeasible,,,,,,,,,,,,5.0,69.0,12.0,6.0,38.14
scn_many-tight_seed102.xlsx,soft12,6.023,warning,infeasible,,,,,,,,,,,,5.0,71.0,12.0,6.0,40.264
